Genes,rho_SkM,rho_AT
GSR,-0.184957264957265,-0.176521739130435
CP,0.266324786324786,0.109565217391304
F8,-0.111111111111111,-0.177391304347826
F13A1,0.0830769230769231,0.068695652173913
PNP,-0.111688311688312,-0.245614035087719
HPRT1,-0.148034188034188,0.068695652173913
GOT2,0.131578947368421,0.387719298245614
PGK1,-0.216923076923077,-0.429841897233202
F2,-0.00632466474454882,0.339846196780914
C1R,0.0892307692307692,-0.0426086956521739
HP,-0.146978133476442,-0.300869565217391
HPR,0.335384615384615,0.277391304347826
F10,0.0386324786324786,-0.464347826086956
CFD,0.195213675213675,0.257391304347826
PLG,-0.0933333333333333,-0.193143862111476
F12,0.191074569917829,0.244155844155844
CFB,0.137094017094017,0.0904347826086956
SERPINC1,0.0876713614060824,-0.0843478260869565
SERPINA1,0.0434188034188034,-0.418260869565217
SERPINA3,-0.126837606837607,0.0486956521739131
AGT,0.534358974358974,0.165217391304348
A2M,-0.182905982905983,0.239130434782609
C3,-0.141880341880342,-0.123478260869565
C5,-0.283418803418803,0.0713043478260869
KNG1,0.14395623393846,-0.254399931158858
LDLR,-0.300769230769231,-0.0434782608695652
EGF,0.111304347826087,0.0553515978016986
TGFB1,-0.134358974358974,0.491304347826087
TG,-0.406493506493507,-0.212280701754386
LMNA,0.131578947368421,0.192982456140351
SPTA1,-0.0776068376068376,0.0826086956521739
APOA1,-0.167550010997258,0.0469565217391304
APOE,0.437264957264957,0.372173913043478
APOA2,0.0809841041737342,0.212946769960433
APOC1,-0.165128205128205,-0.0547826086956522
APOC3,-0.04,0.0722418891967994
FGB,0.0468376068376068,-0.0150613113701642
SLC4A1,0.256752136752137,-0.0382608695652174
CRP,-0.0784464540552736,-0.240118577075099
C1QA,0.107008547008547,0.130434782608696
C1QB,0.0311111111111111,-0.0843478260869565
C1QC,0.0147008547008547,-0.0947826086956522
C9,0.284654588426825,0.302608695652174
APOH,0.0133333333333333,0.286164916033119
LRG1,-0.0885470085470085,-0.0486956521739131
FN1,0.305982905982906,0.563478260869565
RBP4,-0.0947008547008547,0.0478260869565217
AMBP,-0.404216367314944,0.175652173913043
ORM1,0.164452383322123,-0.113913043478261
TTR,0.087828096856846,-0.094197730335833
ALB,0.055042735042735,-0.0869565217391304
GC,-0.192136053401705,
PPBP,0.378036352604615,0.0252173913043478
TFRC,-0.13304347826087,0.0525127046866177
TF,0.377094017094017,-0.0817391304347826
HPX,-0.398290598290598,-0.028695652173913
KLKB1,-0.315555555555556,-0.16
C4BPA,0.113162393162393,-0.189274937425783
VTN,0.358632478632479,-0.200869565217391
CAT,-0.00608695652173913,0.189158667419537
PROC,-0.137777777777778,-0.543478260869565
ALDOA,0.275897435897436,0.139130434782609
APOB,0.215042735042735,0.256521739130435
SOD2,-0.120683760683761,0.0243478260869565
LCAT,-0.0707692307692308,-0.16304347826087
HRG,0.277350098112615,
A1BG,-0.165811965811966,0.1
KRT1,0.048737236233737,0.115884754673425
VWF,0.174017094017094,0.0191304347826087
SHBG,0.235384615384615,-0.126482213438735
GAPDH,-0.111794871794872,-0.496521739130435
CAPNS1,-0.28,0.0834782608695652
HSPB1,-0.351794871794872,-0.0556521739130435
RPN1,0.243846153846154,0.437747035573123
RPN2,0.0064957264957265,-0.00173913043478261
GNAI2,-0.215042735042735,-0.0147826086956522
SLC4A2,0.145864661654135,-0.395252837977296
IGF1,-0.0234782608695652,-0.237154150197628
ATP1A1,0.287692307692308,0.151185770750988
CHGB,-0.360902255639098,-0.595459236326109
ALDOB,0.158102766798419,-0.328063241106719
APP,0.176068376068376,-0.277391304347826
APOD,-0.296410256410256,0.103478260869565
ITGB3,-0.0475213675213675,0.39304347826087
SERPINE1,-0.256153846153846,-0.134387351778656
SLC25A5,0.0921739130434782,-0.193675889328063
SERPINA5,0.0290598290598291,0.54
SERPING1,-0.216410256410256,0.0573913043478261
CFI,0.0871794871794872,0.0947826086956522
F13B,0.256868425854841,-0.165674425071806
PCCA,0.17234262125903,-0.138235294117647
EIF2S1,0.114624505928854,-0.0688311688311688
RPLP1,-0.00581196581196581,-0.0469565217391304
RPLP2,-0.243609022556391,0.126315789473684
RPLP0,-0.0123076923076923,0.296442687747036
CLEC3B,-0.0681818181818182,0.0051948051948052
SERPIND1,-0.119663428241324,-0.0147954799289967
ITGB1,-0.130940170940171,0.0643478260869565
PRKCB,-0.347692307692308,0.0612648221343874
FYN,0.176623376623377,0.00451127819548872
GSN,0.247863247863248,-0.239130434782609
