phenotype,Genes,n,rho,p,q_global,q_within
mri_IP,RTN4RL2,26,-0.319370837288651,0.111753573129606,1,0.999906809281029
ChestPress,DCHS1,16,0.413089319285541,0.111764718939183,1,0.903550016639837
mri_TAT,HDLBP,23,-0.340909090909091,0.111784594759846,1,0.882204278291872
M_mg.kg.min,MTCH2,25,0.326153846153846,0.111834377936053,1,0.988378186379285
mri_TAT,STX7,25,0.326153846153846,0.111834377936053,1,0.882204278291872
mri_TAT,ACAN,25,0.326153846153846,0.111834377936053,1,0.882204278291872
mrs_Hep,TXN,14,-0.446153846153846,0.111894050319888,1,1
mrs_Musc,PTPRJ,19,-0.376625670478673,0.111971014393394,1,0.995917543552641
mri_VL,APOC2,24,0.33304347826087,0.112083215049183,1,0.935148547830613
VO2max.kg,NCKAP1L,24,-0.332753402509423,0.112108180831912,1,0.86939810923426
mri_TAT,GSPT2,19,0.37719298245614,0.11215336728405,1,0.882204278291872
mrs_Hep,PKHD1L1,19,-0.37719298245614,0.11215336728405,1,1
mri_IP,MAPRE1,26,-0.319028898490697,0.112159178848393,1,0.999906809281029
mri_TAT,APOB,26,0.319028898490697,0.112159178848393,1,0.882204278291872
Weight,RRAS,18,-0.387396900931569,0.112208118307425,1,0.999276979001456
PullDown,ORM2,25,0.325550581025947,0.112279893044127,1,0.998157011554019
VO2max.kg,CD14,26,0.318905163730423,0.112306219582288,1,0.86939810923426
mrs_Musc,MAPKAPK3,18,0.38729066716249,0.112315094651246,1,0.995917543552641
ChestPress,EIF3C;EIF3CL,24,-0.332556148399577,0.112334086008184,1,0.903550016639837
mri_SAT,SLC4A1,26,0.318974358974359,0.112428896126638,1,0.748538934627657
VO2max.kg,PPP6R1,21,0.356725221504318,0.112431029595479,1,0.86939810923426
VO2max.kg,SDCBP,16,-0.412371581238767,0.112451158367388,1,0.86939810923426
mri_SAT,LMAN2,22,0.348390739695088,0.112506246065214,1,0.748538934627657
FFM,SERPINE2,21,-0.356609307538137,0.112556190108083,1,0.998761796865375
mri_VL,FAT4,25,0.325384615384615,0.112719751169348,1,0.935148547830613
Weight,CDH1,26,0.318453949904272,0.11284362647371,1,0.999276979001456
ChestPress,PSMC4,24,0.332109764307765,0.112846538779358,1,0.903550016639837
PullDown,PRKAA1,24,0.332090611475413,0.112868564648184,1,0.998157011554019
VO2max.kg,CRKL,21,-0.356307193328055,0.11288287806663,1,0.86939810923426
mri_IP,CAPN1,26,-0.31834502089479,0.112973647301956,1,0.999906809281029
mri_TAT,SERPINF1,26,0.31834502089479,0.112973647301956,1,0.882204278291872
BMI,MAP1S,18,0.386563772085817,0.11304901756016,1,1
VO2max.kg,VKORC1L1,17,-0.398528585023354,0.113083885775417,1,0.86939810923426
Weight,IPO7,25,-0.324802824945477,0.113155311396039,1,0.999276979001456
