ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster
GO:0030198,extracellular matrix organization,28/231,57/1487,0.491228070175439,3.16214779372674,7.13633716972507,1.18711236433706e-09,7.28491287581506e-07,6.62700270757984e-07,QSOX1/EFEMP2/AGT/LAMB1/CTSG/SERPINF2/LAMC1/NID1/TNXB/LAMA2/PTX3/DPP4/COL18A1/COMP/APLP1/FMOD/DPT/LRP1/GAS6/POSTN/TGFBI/ADAMTS13/ABI3BP/ADAMTSL2/MMP19/COL12A1/ANTXR1/ADAMTS8,28,C1
GO:0043062,extracellular structure organization,28/231,57/1487,0.491228070175439,3.16214779372674,7.13633716972507,1.18711236433706e-09,7.28491287581506e-07,6.62700270757984e-07,QSOX1/EFEMP2/AGT/LAMB1/CTSG/SERPINF2/LAMC1/NID1/TNXB/LAMA2/PTX3/DPP4/COL18A1/COMP/APLP1/FMOD/DPT/LRP1/GAS6/POSTN/TGFBI/ADAMTS13/ABI3BP/ADAMTSL2/MMP19/COL12A1/ANTXR1/ADAMTS8,28,C1
GO:0045229,external encapsulating structure organization,28/231,57/1487,0.491228070175439,3.16214779372674,7.13633716972507,1.18711236433706e-09,7.28491287581506e-07,6.62700270757984e-07,QSOX1/EFEMP2/AGT/LAMB1/CTSG/SERPINF2/LAMC1/NID1/TNXB/LAMA2/PTX3/DPP4/COL18A1/COMP/APLP1/FMOD/DPT/LRP1/GAS6/POSTN/TGFBI/ADAMTS13/ABI3BP/ADAMTSL2/MMP19/COL12A1/ANTXR1/ADAMTS8,28,C1
GO:0034375,high-density lipoprotein particle remodeling,10/231,11/1487,0.909090909090909,5.85202676111767,6.92463563464255,6.58093726783578e-08,3.02887637752142e-05,2.75533452450704e-05,APOM/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/CETP/PLTP,10,C1
GO:0043691,reverse cholesterol transport,9/231,10/1487,0.9,5.79350649350649,6.52054125979706,3.98694078174969e-07,0.000105296407717767,9.57869491288869e-05,APOM/APOA1/APOE/APOA2/APOC3/LCAT/APOA4/CLU/CETP,9,C1
GO:0034367,protein-containing complex remodeling,12/231,17/1487,0.705882352941177,4.54392666157372,6.30044310700414,4.57561793450371e-07,0.000105296407717767,9.57869491288869e-05,APOM/AGT/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/CETP/PLTP/APOA5,12,C1
GO:0034368,protein-lipid complex remodeling,12/231,17/1487,0.705882352941177,4.54392666157372,6.30044310700414,4.57561793450371e-07,0.000105296407717767,9.57869491288869e-05,APOM/AGT/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/CETP/PLTP/APOA5,12,C1
GO:0034369,plasma lipoprotein particle remodeling,12/231,17/1487,0.705882352941177,4.54392666157372,6.30044310700414,4.57561793450371e-07,0.000105296407717767,9.57869491288869e-05,APOM/AGT/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/CETP/PLTP/APOA5,12,C1
GO:0006641,triglyceride metabolic process,15/231,26/1487,0.576923076923077,3.71378621378621,5.98491205219331,7.5798847481693e-07,0.000155050753570885,0.000141047913851899,C3/LDLR/APOE/APOA2/APOC1/APOC3/CAT/APOA4/CETP/TNXB/GPLD1/APOBR/APOA5/PCSK9/SORL1,15,C1
GO:0006956,complement activation,20/231,43/1487,0.465116279069768,2.99406020336253,5.68865338024197,1.0490390602084e-06,0.000193128090984366,0.000175686436293849,MASP2/C1R/CFB/C3/IGHG2/IGHG3/IGHG4/IGHM/C1QB/C2/C8A/C8B/C8G/C7/CLU/C6/CFHR1/SVEP1/COLEC11/COLEC10,20,C1
GO:0006958,"complement activation, classical pathway",16/231,31/1487,0.516129032258065,3.32244099986036,5.60228791140563,2.39179504184411e-06,0.000400299515639547,0.000364147934121912,MASP2/C1R/C3/IGHG2/IGHG3/IGHG4/IGHM/C1QB/C2/C8A/C8B/C8G/C7/CLU/C6/SVEP1,16,C1
GO:0071827,plasma lipoprotein particle organization,12/231,19/1487,0.631578947368421,4.06561859193438,5.76570567419022,2.7763695784437e-06,0.000425941366159571,0.00038747403502666,APOM/AGT/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/CETP/PLTP/APOA5,12,C1
GO:0042157,lipoprotein metabolic process,13/231,22/1487,0.590909090909091,3.80381739472649,5.68018955340705,3.02193421439565e-06,0.00042795237605403,0.000389303427943601,APOM/LDLR/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOD/APOA4/ITGAV/APOA5/PCSK9,13,C1
GO:0048731,system development,95/231,421/1487,0.225653206650831,1.45258146445795,4.70196924267948,3.40608314006511e-06,0.000447899932918562,0.00040744949442433,CHL1/NRP1/PLXNB1/NRP2/ATP6AP2/ATRN/CLSTN1/EFEMP2/AGT/C3/LDLR/APOA1/APOE/RBP4/CAT/IGF1/APOD/S100A9/APOA4/ITGAV/CSF1R/DCN/LAMB1/MGP/SERPINF2/CSF1/SPP1/KIT/CLU/FGFR1/IGF2R/RNH1/NCAM1/NID1/CD44/ACAN/EPB42/VCAM1/OGN/TNXB/PTPRG/PTPRZ1/LAMA2/IGFBP5/TNC/PTX3/CDH5/FBN1/FLT4/COL18A1/MCAM/BTD/THBS3/COMP/APLP1/CTSC/CDH13/MTPN/RAN/RELN/GPLD1/HSPG2/LRP1/PCDH1/EFEMP1/SPP2/ALCAM/GAS6/FAT1/POSTN/RCN1/TGFBI/MAN2A1/SVEP1/MIA3/CSPG4/FAT4/ADAMTSL2/PLXDC1/ADGRF5/PCSK9/ANGPTL6/ST8SIA4/SORL1/NEO1/MMP19/SDF4/CDH23/ANTXR1/PCDH18/CD248/CRTAC1/B3GNT2/DKK3/HEG1,95,C1
GO:0007155,cell adhesion,71/231,289/1487,0.245674740484429,1.58146467143007,4.72133069150773,4.67721502032777e-06,0.000528773720975441,0.000481019463147561,CHL1/NRP1/PLXNB1/SUSD5/NRP2/CLSTN1/EFEMP2/APOA1/IGF1/APOD/S100A9/APOA4/ITGAV/LAMB1/CTSG/SERPINF2/CD63/CSF1/SPP1/KIT/LAMC1/COL6A3/NCAM1/SELL/NID1/CD44/ACAN/VCAM1/TNXB/LAMA2/TNC/DPP4/PDIA3/CDH5/FBN1/COL18A1/MCAM/THBS3/COMP/APLP1/CDH6/CDH13/CDH15/RELN/FBLN2/HSPG2/DPT/PCDH1/MADCAM1/ALCAM/GAS6/SPARCL1/FAT1/POSTN/TGFBI/SVEP1/MIA3/FAT4/ADAMTS13/ABI3BP/SNED1/NEO1/ESAM/SIPA1/COL12A1/OMD/CDH19/CDH23/ANTXR1/PCDH18/THSD1,71,C1
GO:0006639,acylglycerol metabolic process,15/231,29/1487,0.517241379310345,3.32960143304971,5.4315331777205,4.88275570699755e-06,0.000528773720975441,0.000481019463147561,C3/LDLR/APOE/APOA2/APOC1/APOC3/CAT/APOA4/CETP/TNXB/GPLD1/APOBR/APOA5/PCSK9/SORL1,15,C1
GO:0097006,regulation of plasma lipoprotein particle levels,15/231,29/1487,0.517241379310345,3.32960143304971,5.4315331777205,4.88275570699755e-06,0.000528773720975441,0.000481019463147561,APOM/AGT/LDLR/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/CETP/PLTP/GPLD1/APOA5/PCSK9,15,C1
