Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,logLik_ri,rs_default_ok,rs_error,rs_fitted,rs_converged,rs_singular,est_rs,se_rs,p_rs,logLik_rs,LRT_chisq,LRT_p,sd_slope,cor_int_slope,sigma_ri,sigma_rs,q_rs,q_ri_sub
O14791,APOL1,52,26,0.273876543800945,0.244728463183223,0.263095875141808,0.454171091725243,-79.3171092361329,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.275126972923653,0.244639487946013,0.260749207721454,-79.1617171684373,0.310784135391231,0.856079470572705,0.60428497087786,-0.0957420783139434,0.875712629697717,0.764026741371295,0.456754564546085,0.454171091725243
Q86TP1,PRUNE1,51,26,-0.0910306077408993,0.0821215989659715,0.267652166074539,0.460728737837485,-13.888945336042,FALSE,number of observations (=51) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.0913239136640479,0.0821606529556108,0.26634089645577,-13.8703626879108,0.0371652962624118,0.981588944747327,0.252936641092178,-0.618420576951827,0.291895527592221,0.231046250126701,0.462355825869848,0.460728737837485
Q92974,ARHGEF2,47,25,-0.0857567621189043,0.0773693763779216,0.26768606220023,0.460728737837485,-4.00974315689677,FALSE,number of observations (=47) <= number of random effects (=50) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.0865289563732525,0.0828966517542704,0.296569941823003,-3.35901675110446,1.30145281158461,0.521666697384324,0.330796739487394,-0.866435259787984,0.263520306615561,0.164016665385102,0.492298042829022,0.460728737837485
P28070,PSMB4,52,26,0.154063417462991,0.139095055859403,0.268029218501213,0.460728737837485,-45.2568406739512,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,TRUE,FALSE,0.152764594749784,0.139452017699663,0.273313629815391,-45.179356758195,0.154967831512295,0.925441909310271,0.36603874035684,-0.293895318709948,0.49872597082107,0.427827570878061,0.470233360873919,0.460728737837485
P41222,PTGDS,52,26,0.240048816282558,0.216752739276422,0.268087466223883,0.460728737837485,-60.79397191254,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.244110484566997,0.23645385851907,0.301893642073478,-59.5764065073311,2.43513081041786,0.295949808412826,0.802680819561408,-0.888157465214613,0.778938106529884,0.633636812253325,0.49831803098667,0.460728737837485
O00629,KPNA4,48,26,0.236942710906608,0.215489280709996,0.271525259025401,0.466118361326939,-56.1497665805363,FALSE,number of observations (=48) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.247653284444713,0.223429496722891,0.267681318211595,-50.1223016220387,12.0549299169953,0.00241159974160041,0.869782115044632,-0.999455572029528,0.74160460515724,0.46619150891226,0.463640848247662,0.466118361326939
P06737,PYGL,48,26,0.0934077126667952,0.0850091869941397,0.271857272718478,0.466170351109932,-23.283683810105,FALSE,number of observations (=48) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.0961233886116086,0.0852510722999574,0.259517239308373,-22.8163957230472,0.934576174115577,0.626699520382737,0.206295718857459,0.152117939780294,0.284589177218565,0.243886231962327,0.456107512840398,0.466170351109932
Q14008,CKAP5,51,26,-0.084083842170479,0.0766013445338269,0.272343799490352,0.466486884936356,-8.93783247237132,FALSE,number of observations (=51) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.0839881015588934,0.0764014142398281,0.271637078929223,-7.95076557872303,1.97413378729658,0.3726681648966,0.294199946206914,-0.820542303582934,0.272517675371658,0.176338991328872,0.468392061323269,0.466486884936356
P80303,NUCB2,52,26,-0.12885077279248,0.117566876524789,0.273088169282543,0.467217209758678,-45.7708889212149,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.135087858985335,0.118965830037328,0.256158282481706,-45.5445594918593,0.452658858711288,0.797455353186364,0.261295291293838,0.139562092424798,0.41964928929336,0.382522889832507,0.453338541161782,0.467217209758678
Q9UEY8,ADD3,49,26,0.0692858363859481,0.0632560554559997,0.273374988752003,0.467217209758678,-3.55815638090442,FALSE,number of observations (=49) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.0659093443763947,0.0624415361599805,0.291179850763007,-1.09576386373764,4.92478503433355,0.0852307907063409,0.171962809695312,-0.998945484671604,0.218001766427245,0.182611816968688,0.490026085719719,0.467217209758678
P07900,HSP90AA1,52,26,-0.112828217763265,0.103108817356814,0.273839418398963,0.467445453271144,-34.3316088421595,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.115098231666351,0.102902627333481,0.263346691216011,-32.9566387657061,2.74994015290672,0.252847161775384,0.327315377709633,0.164481375003073,0.368961495013204,0.286629593192341,0.458704214124845,0.467445453271144
P17858,PFKL,51,26,-0.106330888653251,0.0972714578801527,0.274334289175471,0.467445453271144,-20.5867009236367,FALSE,number of observations (=51) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.1064568334838,0.0973190089125635,0.274000778491236,-20.5603411764861,0.0527194943013143,0.973984638377173,0.324342839883932,-0.591229103333426,0.346168661038738,0.259275441618631,0.470891215538331,0.467445453271144
Q969X1,TMBIM1,50,26,-0.134692759565851,0.123281588439544,0.27458622334223,0.467445453271144,-35.4297559567857,FALSE,number of observations (=50) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,TRUE,FALSE,-0.131859537275919,0.122289016684618,0.280917077935587,-34.2003844023711,2.45874310882904,0.292476325392643,0.27366697008817,-0.999999989496209,0.43112482601842,0.381851778396064,0.479047334890157,0.467445453271144
O43149,ZZEF1,49,26,-0.0760785877866976,0.0696524402094053,0.274718751825371,0.467445453271144,-10.5352821981737,FALSE,number of observations (=49) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.0760782718784729,0.0696593365313461,0.274768263734008,-10.5261870927217,0.0181902109039385,0.990946129911602,0.102409092363651,-0.122770741791356,0.238131060340474,0.226747293878603,0.471685519410046,0.467445453271144
