Genes,est_ep,q_ep,est_se,q_se
COPB2,-0.038522921108772,0.665081518457681,0.158457692307693,0.68904857427914
CORO1A,0.133069211453019,0.588198643974019,-0.0668653846153836,0.730649333902244
COX5B,-0.241355579892385,0.184625285158404,-0.08865,0.639696734650839
CRKL,-0.00384174584367856,0.978409933238391,-0.187580769230769,0.0180177661726604
CRTAC1,0.316169506520315,0.135152960892357,-0.0918807692307695,0.0135285188729703
CSF1,0.252764073191767,0.164859784430063,0.00926538461538457,0.966906934704828
CSF1R,0.407374617437827,0.104394706030185,-0.000857692307692354,0.999616497242442
CSPG4,0.459436129300609,0.0171433490051522,0.0645461538461539,0.455454087111551
CTSC,0.19164352940621,0.230315825572477,-0.111053846153846,0.161211029036497
CTSD,0.047222258163845,0.812585628966755,-0.12825,0.542379141593726
CTSH,0.735011181976525,0.0055901035743884,-0.126342307692309,0.459468926153535
CTSS,0.280089482509466,0.270878675465892,-0.0511884615384617,0.512237983666881
DAAM1,-0.0928923958517339,0.439597421512775,-0.468388461538461,1.49296498869571e-06
DAG1,0.251848895751681,0.238466112211195,-0.151746153846154,7.05534454318173e-05
DARS1,-0.0518277303909416,0.655941854229588,0.100980769230769,0.634080625449044
DBH,0.399570811885442,0.177702080306447,0.0493884615384614,0.854645214239902
DBN1,-0.262707798106431,0.164110608581169,-0.0459769230769231,0.82353190212283
DBNL,-0.0873433410079102,0.676997640611121,-0.291457692307693,0.108148770517305
DCN,0.42670605558019,0.0245446316176368,-0.00021538461538425,0.999616497242442
DCTN1,-0.207075167645299,0.0570989993283153,0.166380769230769,0.24519785285982
DCTN2,-0.191951159161929,0.0421430138887654,0.0228999999999999,0.961819496255815
DECR1,-0.218350746543166,0.502331864458969,-0.176280769230768,0.505871934714327
DIABLO,0.0116717483664473,0.951851190759549,-0.157238461538462,0.478032573846729
DKK3,0.397722802445083,0.0842788377773987,0.0351461538461538,0.798014118945436
DNAJA1,0.00160263738540713,0.991326041361922,0.133046153846154,0.561761151781028
DNM1,-0.0976472881875492,0.394400559464919,0.142707692307692,0.561761151781028
DOK1,-0.00955207295153066,0.954319595094099,-0.00459615384615362,0.9877287018047
DOK2,-0.0190482404048642,0.903671944488384,-0.221946153846154,0.0377377191838819
DPEP2,0.253840925733663,0.283050388420507,-0.0849423076923061,0.20857881833768
DPP4,0.481048862788579,0.0517097892430426,-0.0953846153846153,0.00381450261160511
DPT,0.920456628801519,0.0055883506230472,-0.0603961538461538,0.396858321295131
DRG2,-0.0542226886334257,0.824524360742405,0.0233192307692307,0.840368530626494
DSC2,0.153520183160016,0.629642132752917,-0.026076923076923,0.88875252061743
DSG2,0.120523165616003,0.556109194095639,0.0778999999999988,0.126030216249145
DUSP3,0.179039310751549,0.185320413862917,0.132907692307693,0.806701660089913
DYNC1H1,-0.137438443425131,0.164117665441389,0.175453846153846,0.15558579303577
ECE1,-0.164642253409615,0.25476950245624,0.183915384615385,0.511052363624539
ECM1,-0.0599926010766789,0.842518290013419,0.136092307692308,0.606697733310703
EEF1D,0.0219017487193754,0.903671944488384,-0.0487884615384619,0.762447877937713
EFEMP1,0.285615389153729,0.230315825572477,-0.0284692307692308,0.811783739096484
EGF,-0.133345683867892,0.198194551633949,-0.604046153846151,1.79879649114482e-08
EHD3,-0.129778661371893,0.242812405664537,-0.0726192307692311,0.788919537266469
EIF4B,-0.366825078068414,0.152980451991723,-0.073734615384615,0.909420132232988
EIF4E,0.0577810283935207,0.745765702125352,-0.0582961538461539,0.909420132232988
EIF4G1,-0.173995186886676,0.043592475124822,-0.152096153846154,0.396858321295131
EIF4G3,0.061990429989943,0.766363709293774,-0.00656923076923063,0.991977085134389
EIF5,-0.249993819840115,0.142659780911299,0.124069230769231,0.694284798770556
ELOB,-0.173770891684846,0.599640741421988,-0.1293,0.655830321130839
ENO1,0.0638085266016785,0.797594858455845,0.0456384615384616,0.773647653436229
ENO2,0.0749818294054811,0.819079140874738,-0.0158692307692307,0.930544161997274
ERBIN,-0.0788023758183262,0.599788078750442,-0.221415384615385,0.196724052097682
ERP44,0.058109481415209,0.766682492224608,-0.0335730769230773,0.593856730084794
ESAM,-0.190259014829912,0.124221779678384,0.0326653846153846,0.55095410233889
ESYT2,-0.0544002318202877,0.652464314885832,-0.0282192307692308,0.91470037610536
F10,0.279721081508719,0.157228748003735,0.0179115384615385,0.748212934232845
F11R,0.0512140828808902,0.709965057694798,-0.118203846153846,0.124762119840857
F12,0.273816305606983,0.527175374839633,-0.00441538461538473,0.982625661829991
F13B,0.2368005350267,0.184625285158404,-0.0489961538461539,0.599802186365483
F2,0.0239539663495709,0.844841811680362,-0.0842000000000005,0.340785915209955
F7,0.199116343548958,0.267164547438013,-0.0282038461538459,0.762447877937713
F9,0.206072328690611,0.235612066315097,0.0596576923076926,0.374361534387367
FBLN2,0.436252503982788,0.0393818990831658,0.0533999999999998,0.655830321130839
FGA,-0.0489466712669895,0.667259044811864,-0.0598153846153857,0.57201704529592
FGL1,0.420123303845883,0.0566850647272756,-0.0434692307692314,0.88589760101618
FH,-0.126428885779406,0.405552192569948,-0.187034615384615,0.826407704865358
FLT4,0.271893427377925,0.118645522421439,0.00487307692307663,0.97942976928798
FN1,-0.246632817725136,0.230315825572477,-0.0649384615384617,0.270150365355206
