Protein.Group,Genes,Estimate,SE,p,n_ID,q
Q96K76,USP47,-0.0180103299818539,0.0841666090399438,0.830559327620392,26,0.903671944488384
Q5T1M5,FKBP15,-0.0190684327139019,0.0902662544370162,0.832694906895911,26,0.904641869915739
P09871,C1S,0.0151249280760985,0.0716114713670439,0.832724833009952,26,0.904641869915739
Q9C0I1,MTMR12,0.0125623223821091,0.059653040770132,0.833207366271907,25,0.904641869915739
P49368,CCT3,-0.0289638306917455,0.13975914510095,0.835821617058594,26,0.906842976373263
P36957,DLST,0.016248673651707,0.0835320442061215,0.845768545746369,26,0.916221347452713
Q5TCZ1,SH3PXD2A,-0.0229605865302738,0.118526032829089,0.846396957804354,26,0.916221347452713
Q9UIB8,CD84,-0.0269929968602208,0.139357961082775,0.846414389153322,26,0.916221347452713
Q9H7M9,VSIR,0.0265787063527382,0.138051397285226,0.847328938380049,26,0.916221347452713
O14773,TPP1,0.0221258030408322,0.115000293486206,0.847430618453027,26,0.916221347452713
P04075,ALDOA,-0.0144185625275392,0.0755885327811654,0.848720946275934,26,0.916974728668754
Q86Y82,STX12,0.0137571356805544,0.0726899000988859,0.849890713222999,26,0.917596891634894
Q66K14,TBC1D9B,0.00871464819089246,0.0466817050645112,0.851909732636403,26,0.919023678978984
Q92530,PSMF1,0.0227308635916621,0.122173041453871,0.852401897719666,25,0.919023678978984
Q3LXA3,TKFC,0.0179095584888727,0.0968393560998171,0.853275384117701,26,0.919148571191962
P49721,PSMB2,-0.0232586409325865,0.126138349847916,0.853707572595771,26,0.919148571191962
Q9Y2G3,ATP11B,0.0190086556036299,0.10380447405901,0.854704012176919,25,0.919285711063804
P48507,GCLM,0.011751976483999,0.0650836394811152,0.856707231629905,26,0.919285711063804
Q9UNH7,SNX6,0.0202517768264866,0.112166572174686,0.856720089583634,26,0.919285711063804
Q9Y6G9,DYNC1LI1,0.0150460219923283,0.0840593768017952,0.857943366633042,25,0.919285711063804
P10515,DLAT,-0.0234188744652281,0.131012484364339,0.85813165225489,25,0.919285711063804
P00390,GSR,0.015707463380469,0.0879387929931422,0.858237552196354,26,0.919285711063804
P14780,MMP9,-0.0227253799974252,0.127891014783998,0.858963825597264,25,0.919285711063804
Q9Y262,EIF3L,0.0159167112039463,0.0901360001327616,0.859833979599981,26,0.919285711063804
A0M8Q6,IGLC7,0.0226926645682162,0.129010202304674,0.860373906091241,26,0.919285711063804
Q14165,MLEC,0.0165656493852932,0.0942892412654712,0.860537720362861,26,0.919285711063804
P55084,HADHB,-0.0177758502086309,0.101264651277937,0.860656481268968,26,0.919285711063804
P55786,NPEPPS,-0.0109557250838403,0.0625565561959995,0.86097503165652,26,0.919285711063804
Q07021,C1QBP,-0.0258476232989825,0.151197274409511,0.864260744668244,26,0.922156664718534
P06241,FYN,0.0173981938569003,0.103048927784898,0.865926976044601,26,0.923296879219399
Q9BYE9,CDHR2,-0.0236131669728784,0.151393066229486,0.876054635502304,26,0.93340955699793
Q96RI0,F2RL3,-0.0260563944424167,0.167983669312754,0.876732498655077,25,0.93340955699793
Q13347,EIF3I,0.0137454437128441,0.0889732829806402,0.877223739003879,26,0.93340955699793
P11274,BCR,-0.0144577561795304,0.0945365172249878,0.878451086823558,25,0.934072215514381
Q8IVB4,SLC9A9,0.019319411566617,0.127902233002371,0.879937635387677,25,0.935009385607951
Q13418,ILK,-0.0117165933924412,0.0781795970511769,0.880869025847206,26,0.935355769714043
Q9NYJ8,TAB2,-0.0118382671275444,0.0800286001334515,0.882401598626623,26,0.936339608432784
P10644,PRKAR1A,-0.0176391583155372,0.121024981563956,0.884120266721166,26,0.936982911855499
Q8NBF2,NHLRC2,-0.0168868392441292,0.115964492898551,0.884220767304413,26,0.936982911855499
O15155,BET1,0.0255672268611899,0.177066042036901,0.885189565007862,23,0.937213321386988
P49137,MAPKAPK2,-0.0199671785263298,0.138845280705474,0.885651423446604,25,0.937213321386988
P63010,AP2B1,0.0130794319751528,0.0925224736219274,0.887581666620246,26,0.937952575049008
P06753,TPM3,0.0245710918969041,0.174758379648228,0.888185660183614,26,0.937952575049008
O60762,DPM1,-0.0129227336276015,0.0926260230904082,0.889043084005379,26,0.937952575049008
P47755,CAPZA2,-0.0274106797263903,0.196662295772103,0.889150321998817,26,0.937952575049008
O43312,MTSS1,0.0171955782508955,0.123745116309597,0.889482032987811,26,0.937952575049008
P50990,CCT8,0.0101926289490638,0.0736921422711197,0.889992540467214,26,0.937952575049008
Q12765,SCRN1,0.0249720665072653,0.183003356854511,0.891460112987909,26,0.93885881020199
Q6P3W7,SCYL2,-0.00938976424772776,0.0702822862776662,0.893718312590996,26,0.940342916727735
Q14344,GNA13,-0.0127242598989956,0.0955740709058549,0.894086566131419,26,0.940342916727735
