Genes,p_VO2_marg,p_M_marg,p_VO2_adj,p_M_adj
ACTA1,0.677777730843196,0.119829120043124,0.430077173177615,0.0957116012887705
SIPA1,0.671972183383218,0.762466534132657,0.430807602933372,0.463346850729077
CFB,0.382654126112956,0.685687583158422,0.431168133843961,0.830518421556996
ARL6IP5,0.265777404251715,0.434313711599529,0.433503550075661,0.921238265344438
NCAM1,0.345755351187249,0.601520061759693,0.436147071662279,0.904298333749519
HP,0.484728445557644,0.880487628553172,0.437449111608076,0.691648688530761
HADH,0.585856081077813,0.0886932533100171,0.437463812330203,0.0785862098849791
MTOR,0.0964028050927344,0.0932592125446025,0.43812177341534,0.414371614600043
PPP2R1A,0.268789113197055,0.43420970987472,0.440010358640323,0.935477203403741
VCL,0.0434824577015606,0.0245312745499197,0.440018468677365,0.205255425869286
IGLV3-21,0.501726483651741,0.961971391077378,0.442338067234748,0.682738601186843
COL12A1,0.298020274987387,0.491037270155284,0.443737165557698,0.970159690618043
ESAM,0.188081106995155,0.259870048021796,0.447951805853758,0.722249783110544
VPS45,0.543172066154358,0.943264805825545,0.448543650956171,0.633883467359512
PKHD1L1,0.856456448881111,0.246989165192428,0.451309933900151,0.178107328004008
SELL,0.198268485046421,0.276204617967268,0.452323831733218,0.740932885497517
SERPINC1,0.460812886849514,0.80984448526598,0.45307537859852,0.754811125986461
PSMD13,0.840260829365314,0.598069378344536,0.456351982160309,0.377538879742573
LAMA2,0.470096819975484,0.822832644625614,0.456414085653302,0.748135105859146
ASAP2,0.676557221777663,0.817631618148641,0.460590910110906,0.51262392259329
ABI3BP,0.762484304452614,0.688154228437702,0.462794476489596,0.436682228484543
WDR1,0.392924011155598,0.658769992962449,0.464128647907086,0.880518545752116
MUC20,0.61838324884113,0.852194909622991,0.465679695865023,0.565667971402144
C8A,0.539918191145189,0.938753770113922,0.466896825119218,0.675356644495709
TMEM40,0.59392296762862,0.0847245913374615,0.469919319169517,0.0782211397023675
CRP,0.100877164767772,0.0847245913374615,0.470414361996486,0.371197819246807
SERPINA1,0.872124168721905,0.548767332108401,0.471644814324417,0.360845304447351
STRIP2,0.660031353811908,0.939286182750308,0.472536941082476,0.560537238083032
FERMT3,0.384509829526053,0.629879929423241,0.472735330609439,0.91166431651072
LRPPRC,0.816418142447712,0.631770177429092,0.473842498787153,0.410134167458238
ITLN1,0.922022009783872,0.489769966905427,0.474275976044188,0.32817404134312
RPN2,0.403348427303444,0.661200316410446,0.477217965217912,0.889516047153526
P2RX1,0.886000207863054,0.598069378344537,0.480214232961877,0.389230725163297
VKORC1L1,0.113083885775417,0.104039021122669,0.480514758346694,0.424295734250095
IGHV1-24,0.288658721101436,0.422353579829478,0.485275422064269,0.885156495911159
SERPINA4,0.791805785890549,0.678306883851974,0.486735366585973,0.44603160538048
DOK3,0.790985198927616,0.659740450509799,0.487300942932099,0.43880679823019
