Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,shapiro_p,shapiro_p_marginal,shapiro_p_ranef,bp_stat,bp_p,bp_p_marginal,spearman_rho_absres_fitted,spearman_p,levene_p
P02786,TFRC,50,26,0.249693819987506,0.174851637171278,0.153282505185956,0.331684004161402,0.000259292868561347,0.000285556897848681,0.192713914685667,0.00996467552554151,0.920484672137348,0.973589466769966,0.104345738295318,0.469652644494797,0.613264332668609
O15145,ARPC3,52,26,-0.0215042465863794,0.205216104598677,0.91654379475025,0.949101985850628,0.000291640154330333,0.000494204514440483,0.0858499149266292,1.01428014951878,0.31387962669175,0.915469781054999,-0.20899854862119,0.136788614395846,0.684708944145807
P35542,SAA4,52,26,0.442006695286363,0.175118987196594,0.011601592029903,0.0811061524262453,0.000292243305966496,0.136607739579751,0.999741822537839,6.26670789498334,0.0123027519503582,0.905615364817243,0.305557927089559,0.0280120427268575,0.353323343543744
P17858,PFKL,51,26,-0.106330888653251,0.0972714578801527,0.274334289175471,0.467445453271144,0.000317641156012395,0.000569508610684339,0.595591974964272,0.172958024103542,0.67749618777563,0.533328515099444,0.144434389140272,0.310921162234412,0.868521582682769
P02787,TF,52,26,0.124257210964893,0.25148861897573,0.621244868558678,0.762208390545361,0.000343405172987645,6.40285108265455e-05,0.00221893980450294,9.25112742620662,0.00235350488021279,0.24771713839928,0.153760778622044,0.275571987215359,0.453319204984304
P08670,VIM,50,26,0.156130630680553,0.173006893684604,0.366816153523557,0.552369353990151,0.0003614294482381,0.0114291205837554,0.907521977057122,8.56359429189411,0.00342951669905929,0.0664407171384958,0.0463385354141657,0.748677116963103,0.78444444298096
O75390,CS,51,26,-0.0376272199476097,0.133436487617922,0.777954253595096,0.870400398726551,0.000427314913041978,0.000996441776458348,0.0322111872652563,7.8418958149617,0.00510490415548677,0.437347721868985,-0.207420814479638,0.143869351232359,0.650284232112526
Q9Y6W5,WASF2,39,24,0.0369828374641178,0.102442652924372,0.718091859685806,0.829970570664037,0.00045355407431836,0.000919843827947372,0.538561692018786,5.21001225588528,0.0224571764072521,0.338349588852892,-0.0376518218623482,0.819603010362611,0.374817624602184
O75636,FCN3,52,26,0.252976140939078,0.213378377903324,0.235790049275086,0.430976926346809,0.000455563908394087,0.000455563908394087,,1.87747221208517,0.170621725652413,0.170621725652413,-0.0340748529882013,0.81047468011712,0.616658983549368
P49720,PSMB3,52,26,0.11656849689988,0.150865071278315,0.439719344624257,0.620425924606829,0.000480641305471336,0.000865211010729122,0.365308132232408,2.90799947265203,0.0881411448539213,0.943249727496745,-0.285409374199607,0.0406344448026762,0.484531754263066
Q5M775,SPECC1,50,26,-0.161264018601415,0.131877606509553,0.221393553747049,0.417137854316087,0.000497490158490818,0.000880705513863163,0.107979829018763,1.34227531450697,0.246633110192142,0.872062244413135,-0.0547899159663866,0.70473393308246,0.30465142439538
P19021,PAM,52,26,0.289393473150968,0.161611051419145,0.0733448640418446,0.226084585343282,0.000626872789461225,0.0027798004165495,0.682919538888411,1.94172825968895,0.163481005185935,0.842860939896713,-0.169128318961837,0.229960313801032,0.728788504711304
P04070,PROC,52,26,0.0374620837829352,0.0993973264261879,0.706253667748462,0.824763353493102,0.000675601812446568,0.000675601812446568,,0.637481653110912,0.424624200939025,0.424624200939025,-0.149282362268563,0.2908518695715,0.509717353991551
P02749,APOH,52,26,0.266588585819046,0.221473187476027,0.228703265186308,0.423169514626163,0.000727175641927103,0.00225570843060201,0.78944024293279,1.64331712571408,0.199870952192671,0.0800325923850392,-0.268761205498164,0.0543266952142757,0.856365754671564
P0C0L5,C4B,52,26,-0.00492773408449016,0.0719498520815973,0.945396811422631,0.968274710915433,0.00075576947057577,0.00075576947057577,,0.40425652156196,0.524899158739112,0.524899158739112,-0.149584291345674,0.289866111793795,0.712209412339303
Q03591,CFHR1,52,26,0.637982653586732,0.314459159491678,0.042476101998058,0.164117665441389,0.000756582052954093,0.00147868497298088,0.426976157705647,5.39538376157694,0.0201900851006858,0.0758836008927005,0.158541791172202,0.260778618837686,0.954172307197566
P22695,UQCRC2,52,26,-0.233387055806166,0.0964652872723489,0.0155466043448482,0.0956952339154999,0.000799275910413281,0.000799275910413281,,1.75700263934924,0.184998819335913,0.184998819335913,-0.172660299381987,0.220943756669136,0.700902506544779
P01591,JCHAIN,48,26,0.466079210383251,0.462121979028331,0.313184175573372,0.505670781741117,0.00093560579156983,0.00093560579156983,,0.651097113986741,0.419720705609884,0.419720705609884,-0.207087974413126,0.157864446245646,0.364223808096576
P02760,AMBP,52,26,0.141831160618377,0.132910680006506,0.285919296573171,0.477006284674888,0.000975339971117153,0.00830364186605995,0.105391144583675,6.8084978580217,0.00907250538392657,0.36897586538102,-0.122598821821907,0.38546648355715,0.174940379911169
Q9UI09,NDUFA12,42,25,-0.226118454475258,0.115345902501772,0.0499547797136847,0.179907073794039,0.000981434743578342,0.00110533632214657,0.0418692030233661,3.65557596139108,0.0558818306861932,0.120812285747159,0.0227696296896524,0.886079445532392,0.622483403340012
P04196,HRG,52,26,0.0848316684288381,0.146875688471448,0.563551353139202,0.716490349085982,0.00107279748087691,0.00149955028612809,0.0875689749065032,3.65107431340692,0.056033057263615,0.216462096328956,0.301033040211731,0.030513555656063,0.232160892485642
