Genes,est_B2,est_B3,p_time,n_ID,q_time
IPO9,0.000909289277042383,0.16470223539248,0.152925784834315,26,0.436629253175094
EIF2B4,0.125053315071365,-0.0698283539515903,0.153057331615808,25,0.436629253175094
ITGAV,-0.18685945605799,-0.0787689544326369,0.153084684323166,26,0.436629253175094
RPLP1,0.206404897507201,0.208215795934627,0.153701313452931,26,0.436737520332758
FGFR1OP2,-0.0779607755224848,0.0326834649892675,0.153978653660981,26,0.436737520332758
IGKV3-11;IGKV3D-11,-0.339735271362816,0.0862132717074279,0.154004347681268,26,0.436737520332758
GNAS,-0.217634806072741,-0.0274086025469515,0.154701546950066,25,0.437049397372393
SNED1,-0.219722036952736,-0.177587189538606,0.154702545772462,26,0.437049397372393
APOD,-0.254196632988683,-0.0841263765235334,0.155127975172707,26,0.437143464034713
BMP1,-0.191325162678589,-0.133283596520076,0.155324191796991,25,0.437143464034713
CLASP1,-0.054341179027146,-0.262764217722671,0.155955228093978,26,0.4380897333604
PLCG2,0.125573978182825,-0.0436682350294116,0.157018337967966,25,0.438828477211927
AP2A1,0.118234306570379,-0.0253096205817706,0.157080322365846,26,0.438828477211927
UBR4,0.122592893715252,0.000569150186476567,0.157104138544243,26,0.438828477211927
WASF1,-0.0580912329520727,0.137154241491338,0.15856878327609,26,0.441372394890569
MGST3,-0.140781588306604,-0.255266745798845,0.158608922524606,26,0.441372394890569
PSMD8,0.0720085588336895,0.226038104997016,0.159539976773307,26,0.44272969316185
SLC27A4,0.147155379945389,-0.0593449049048793,0.15969254073671,26,0.44272969316185
IGHV1-8,-0.458892957549012,-0.103580529249264,0.161183773430158,22,0.445788206301161
STXBP5,0.184758787269925,0.121565262138947,0.16159741896754,26,0.445788206301161
S100A9,0.320787636263686,0.390506392021959,0.162189685220083,26,0.445788206301161
ADAM10,0.317986908904141,0.079086037883985,0.162287667871504,26,0.445788206301161
NSFL1C,0.243985989207903,0.260617909521664,0.162295706331715,26,0.445788206301161
CCS,0.176466273436022,0.207761794791863,0.163910876025877,26,0.448650635284698
GSN,0.0423421519593157,-0.136967699185912,0.164216220040848,26,0.448650635284698
RAP1A,0.277952591111455,0.0342348559356349,0.164455175914811,26,0.448650635284698
DOCK10,0.109473784061359,-0.033032598771973,0.164545488714778,26,0.448650635284698
APOB,-0.132467073996802,-0.0514445980548558,0.165781444524548,26,0.451192722643734
ATP5MF,0.352606196809911,0.124542246803416,0.166496276842287,26,0.452101139946585
ERBIN,0.123422551951765,0.16009865869323,0.16672370436792,26,0.452101139946585
VPS11,0.122425092031565,-0.0290139629233694,0.167506582362569,26,0.453396687414896
ACSL3,-0.0498463009602009,-0.142250604947791,0.168213789237893,26,0.454483074195472
SDHA,0.168777326545083,0.0528638200881918,0.168847435532043,26,0.4553671310356
APOC2,-0.06833089258921,0.176524303937264,0.169946803368675,26,0.457501720662774
NEXN,0.0930233625745521,-0.081596855542866,0.17073885981137,26,0.457535534431095
